"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
209,"2019-05-01 06:14:19.2350","2019-05-01 06:17:49.0730",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3184,"Paulus Hook",40.7141454,-74.0335519,29588,"Subscriber",1993,1
187,"2019-05-01 06:15:31.6810","2019-05-01 06:18:39.1280",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29233,"Subscriber",1980,1
244,"2019-05-01 06:20:33.4430","2019-05-01 06:24:37.7840",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,29271,"Subscriber",1967,1
168,"2019-05-01 06:20:54.0500","2019-05-01 06:23:42.2440",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26236,"Subscriber",1986,1
234,"2019-05-01 06:21:32.7840","2019-05-01 06:25:27.1590",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26306,"Subscriber",1979,1
1023,"2019-05-01 06:23:45.5870","2019-05-01 06:40:48.7030",3694,"Jackson Square",40.71113,-74.0789,3183,"Exchange Place",40.7162469,-74.0334588,29247,"Subscriber",1977,1
291,"2019-05-01 06:24:05.4900","2019-05-01 06:28:57.0400",3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,3640,"Journal Square",40.73367,-74.0625,29453,"Subscriber",1980,1
237,"2019-05-01 06:27:44.2320","2019-05-01 06:31:42.1050",3209,"Brunswick St",40.7241765,-74.0506564,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29536,"Subscriber",1980,1
115,"2019-05-01 06:27:47.1140","2019-05-01 06:29:42.8710",3213,"Van Vorst Park",40.71848892,-74.047726625,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29535,"Subscriber",1970,1
181,"2019-05-01 06:30:05.7470","2019-05-01 06:33:06.8810",3214,"Essex Light Rail",40.7127742,-74.0364857,3183,"Exchange Place",40.7162469,-74.0334588,26232,"Subscriber",1979,1
144,"2019-05-01 06:30:50.8830","2019-05-01 06:33:15.7380",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26269,"Subscriber",1987,2
163,"2019-05-01 06:36:45.9060","2019-05-01 06:39:29.2220",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,26162,"Subscriber",1976,1
147,"2019-05-01 06:38:08.6370","2019-05-01 06:40:36.2110",3213,"Van Vorst Park",40.71848892,-74.047726625,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26183,"Subscriber",1974,2
551,"2019-05-01 06:40:23.1530","2019-05-01 06:49:34.8730",3210,"Pershing Field",40.742677141,-74.051788633,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,29582,"Subscriber",1981,1
336,"2019-05-01 06:41:22.0440","2019-05-01 06:46:58.3850",3184,"Paulus Hook",40.7141454,-74.0335519,3202,"Newport PATH",40.7272235,-74.0337589,29589,"Subscriber",1981,1
208,"2019-05-01 06:41:23.4930","2019-05-01 06:44:51.8720",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29257,"Subscriber",1977,2
390,"2019-05-01 06:42:52.1770","2019-05-01 06:49:23.1330",3199,"Newport Pkwy",40.7287448,-74.0321082,3639,"Harborside",40.7192517,-74.034234,29469,"Subscriber",1992,2
219,"2019-05-01 06:43:05.3710","2019-05-01 06:46:44.9860",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3183,"Exchange Place",40.7162469,-74.0334588,29236,"Subscriber",1968,1
207,"2019-05-01 06:44:38.9760","2019-05-01 06:48:06.1980",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,29441,"Subscriber",1990,1
250,"2019-05-01 06:45:01.0490","2019-05-01 06:49:12.0020",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29254,"Subscriber",1994,2
253,"2019-05-01 06:46:31.2050","2019-05-01 06:50:44.7370",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26255,"Subscriber",1986,1
230,"2019-05-01 06:46:52.6510","2019-05-01 06:50:43.1640",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3183,"Exchange Place",40.7162469,-74.0334588,29640,"Subscriber",1983,1
172,"2019-05-01 06:49:19.7490","2019-05-01 06:52:12.2410",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29644,"Subscriber",1989,1
215,"2019-05-01 06:50:58.7090","2019-05-01 06:54:33.9830",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,26233,"Subscriber",1990,1
401,"2019-05-01 06:51:25.4700","2019-05-01 06:58:06.5660",3199,"Newport Pkwy",40.7287448,-74.0321082,3639,"Harborside",40.7192517,-74.034234,29494,"Subscriber",1994,1
320,"2019-05-01 06:51:38.8600","2019-05-01 06:56:59.8470",3187,"Warren St",40.7211236,-74.03805095,3209,"Brunswick St",40.7241765,-74.0506564,29671,"Subscriber",1987,2
289,"2019-05-01 06:52:16.8790","2019-05-01 06:57:06.6610",3275,"Columbus Drive",40.71835519823214,-74.03891444206238,3184,"Paulus Hook",40.7141454,-74.0335519,29495,"Subscriber",1980,1
578,"2019-05-01 06:53:00.3410","2019-05-01 07:02:38.8070",3192,"Liberty Light Rail",40.7112423,-74.0557013,3184,"Paulus Hook",40.7141454,-74.0335519,29211,"Subscriber",1969,1
282,"2019-05-01 06:53:11.7910","2019-05-01 06:57:54.1490",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29533,"Subscriber",1981,1
243,"2019-05-01 06:53:13.5710","2019-05-01 06:57:17.5420",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,29233,"Subscriber",1956,1
246,"2019-05-01 06:54:26.8550","2019-05-01 06:58:33.0260",3203,"Hamilton Park",40.727595966,-74.044247311,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,29613,"Subscriber",1992,1
316,"2019-05-01 06:54:47.7460","2019-05-01 07:00:03.7720",3203,"Hamilton Park",40.727595966,-74.044247311,3638,"Washington St",40.7242941,-74.0354826,29569,"Subscriber",1970,2
262,"2019-05-01 06:55:11.0240","2019-05-01 06:59:33.6310",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3195,"Sip Ave",40.73089709786179,-74.06391263008118,26302,"Subscriber",1981,1
184,"2019-05-01 06:57:38.4780","2019-05-01 07:00:42.8820",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29573,"Subscriber",1983,1
279,"2019-05-01 06:58:58.9050","2019-05-01 07:03:38.2680",3185,"City Hall",40.7177325,-74.043845,3184,"Paulus Hook",40.7141454,-74.0335519,29666,"Subscriber",1988,2
167,"2019-05-01 07:01:10.3430","2019-05-01 07:03:57.6740",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,29207,"Subscriber",1990,1
