"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
316,"2019-06-01 00:05:55.7210","2019-06-01 00:11:11.9940",3187,"Warren St",40.7211236,-74.03805095,3199,"Newport Pkwy",40.7287448,-74.0321082,29677,"Subscriber",1993,1
280,"2019-06-01 00:08:09.0920","2019-06-01 00:12:50.0730",3185,"City Hall",40.7177325,-74.043845,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29571,"Subscriber",1984,1
2162,"2019-06-01 00:13:11.8800","2019-06-01 00:49:14.3640",3199,"Newport Pkwy",40.7287448,-74.0321082,3199,"Newport Pkwy",40.7287448,-74.0321082,26208,"Customer",1969,0
2184,"2019-06-01 00:13:30.1110","2019-06-01 00:49:54.2250",3199,"Newport Pkwy",40.7287448,-74.0321082,3199,"Newport Pkwy",40.7287448,-74.0321082,29487,"Customer",1969,0
139,"2019-06-01 00:13:31.8520","2019-06-01 00:15:51.7880",3207,"Oakland Ave",40.7376037,-74.0524783,3207,"Oakland Ave",40.7376037,-74.0524783,29592,"Subscriber",1994,1
203,"2019-06-01 00:15:43.2590","2019-06-01 00:19:06.7450",3203,"Hamilton Park",40.727595966,-74.044247311,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,26316,"Subscriber",1978,1
671,"2019-06-01 00:19:41.5790","2019-06-01 00:30:52.6600",3202,"Newport PATH",40.7272235,-74.0337589,3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,29488,"Subscriber",1970,1
271,"2019-06-01 00:19:59.6030","2019-06-01 00:24:31.1770",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26312,"Subscriber",1985,1
172,"2019-06-01 00:22:26.0000","2019-06-01 00:25:18.9340",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,29494,"Subscriber",1981,1
763,"2019-06-01 00:23:00.7680","2019-06-01 00:35:44.3800",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,26241,"Subscriber",1984,1
222,"2019-06-01 00:24:54.1970","2019-06-01 00:28:36.5740",3211,"Newark Ave",40.72152515,-74.046304543,3203,"Hamilton Park",40.727595966,-74.044247311,29606,"Subscriber",1982,1
358,"2019-06-01 00:24:54.7060","2019-06-01 00:30:53.3590",3638,"Washington St",40.7242941,-74.0354826,3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,29535,"Subscriber",1964,1
209,"2019-06-01 00:27:01.8910","2019-06-01 00:30:31.5690",3209,"Brunswick St",40.7241765,-74.0506564,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29235,"Subscriber",1986,1
237,"2019-06-01 00:28:33.2520","2019-06-01 00:32:30.5360",3199,"Newport Pkwy",40.7287448,-74.0321082,3638,"Washington St",40.7242941,-74.0354826,29484,"Subscriber",1993,1
62,"2019-06-01 00:29:27.2550","2019-06-01 00:30:29.7400",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,29201,"Subscriber",1978,1
801,"2019-06-01 00:30:45.6140","2019-06-01 00:44:06.6870",3211,"Newark Ave",40.72152515,-74.046304543,3207,"Oakland Ave",40.7376037,-74.0524783,29458,"Subscriber",1984,1
228,"2019-06-01 00:34:14.3050","2019-06-01 00:38:02.5570",3638,"Washington St",40.7242941,-74.0354826,3202,"Newport PATH",40.7272235,-74.0337589,29484,"Subscriber",1984,2
151,"2019-06-01 00:36:11.7520","2019-06-01 00:38:43.2530",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3280,"Astor Place",40.71928220070702,-74.07126188278198,29263,"Subscriber",1987,1
1438,"2019-06-01 00:36:53.1150","2019-06-01 01:00:51.7010",3198,"Heights Elevator",40.748715945380226,-74.04044330120087,3198,"Heights Elevator",40.748715945380226,-74.04044330120087,29610,"Customer",1983,1
830,"2019-06-01 00:37:09.5630","2019-06-01 00:51:00.0330",3280,"Astor Place",40.71928220070702,-74.07126188278198,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,26174,"Subscriber",1984,1
535,"2019-06-01 00:38:35.9710","2019-06-01 00:47:31.5650",3185,"City Hall",40.7177325,-74.043845,3187,"Warren St",40.7211236,-74.03805095,26271,"Subscriber",1978,1
332,"2019-06-01 00:39:50.2860","2019-06-01 00:45:22.2980",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3681,"Grand St",40.71517767732029,-74.03768330812454,26254,"Subscriber",1994,1
309,"2019-06-01 00:40:18.2140","2019-06-01 00:45:28.1270",3638,"Washington St",40.7242941,-74.0354826,3203,"Hamilton Park",40.727595966,-74.044247311,29670,"Subscriber",1986,1
96,"2019-06-01 00:40:28.7250","2019-06-01 00:42:04.7600",3203,"Hamilton Park",40.727595966,-74.044247311,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,29667,"Subscriber",1978,1
309,"2019-06-01 00:40:51.8210","2019-06-01 00:46:01.7230",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,26203,"Customer",1993,1
372,"2019-06-01 00:45:53.8920","2019-06-01 00:52:06.2790",3203,"Hamilton Park",40.727595966,-74.044247311,3202,"Newport PATH",40.7272235,-74.0337589,29619,"Subscriber",1978,1
1116,"2019-06-01 00:51:57.5990","2019-06-01 01:10:34.0820",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3211,"Newark Ave",40.72152515,-74.046304543,29539,"Subscriber",1964,1
139,"2019-06-01 00:56:01.1190","2019-06-01 00:58:20.8900",3199,"Newport Pkwy",40.7287448,-74.0321082,3202,"Newport PATH",40.7272235,-74.0337589,26210,"Subscriber",1978,1
216,"2019-06-01 01:02:30.6720","2019-06-01 01:06:06.9590",3199,"Newport Pkwy",40.7287448,-74.0321082,3638,"Washington St",40.7242941,-74.0354826,29654,"Subscriber",1978,1
840,"2019-06-01 01:10:26.1430","2019-06-01 01:24:26.1870",3202,"Newport PATH",40.7272235,-74.0337589,3198,"Heights Elevator",40.748715945380226,-74.04044330120087,29619,"Subscriber",1978,1
363,"2019-06-01 01:26:46.0090","2019-06-01 01:32:49.8700",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,29590,"Subscriber",1987,1
4925,"2019-06-01 01:32:33.8840","2019-06-01 02:54:39.4040",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,26312,"Subscriber",1985,1
662,"2019-06-01 01:34:50.1240","2019-06-01 01:45:52.5010",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3225,"Baldwin at Montgomery",40.7236589,-74.0641943,29227,"Subscriber",1991,1
273,"2019-06-01 01:37:46.8330","2019-06-01 01:42:20.7880",3638,"Washington St",40.7242941,-74.0354826,3199,"Newport Pkwy",40.7287448,-74.0321082,26211,"Subscriber",1992,1
256,"2019-06-01 01:37:54.1950","2019-06-01 01:42:11.1390",3638,"Washington St",40.7242941,-74.0354826,3199,"Newport Pkwy",40.7287448,-74.0321082,26227,"Subscriber",1989,1
256,"2019-06-01 01:37:58.5170","2019-06-01 01:42:15.1380",3638,"Washington St",40.7242941,-74.0354826,3199,"Newport Pkwy",40.7287448,-74.0321082,29654,"Subscriber",1991,2
135,"2019-06-01 01:38:27.6440","2019-06-01 01:40:42.8730",3211,"Newark Ave",40.72152515,-74.046304543,3209,"Brunswick St",40.7241765,-74.0506564,29582,"Subscriber",1980,2
616,"2019-06-01 01:38:57.1050","2019-06-01 01:49:13.2770",3211,"Newark Ave",40.72152515,-74.046304543,3268,"Lafayette Park",40.71346382669195,-74.06285852193832,26302,"Customer",1969,0
156,"2019-06-01 01:45:45.4840","2019-06-01 01:48:22.3730",3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,3203,"Hamilton Park",40.727595966,-74.044247311,29479,"Subscriber",1973,1
2171,"2019-06-01 01:52:34.5180","2019-06-01 02:28:46.0070",3202,"Newport PATH",40.7272235,-74.0337589,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,29484,"Subscriber",1982,1
1153,"2019-06-01 01:53:41.0400","2019-06-01 02:12:54.6920",3199,"Newport Pkwy",40.7287448,-74.0321082,3194,"McGinley Square",40.7253399253558,-74.06762212514877,29654,"Subscriber",1981,2
403,"2019-06-01 02:14:36.8690","2019-06-01 02:21:20.7820",3220,"5 Corners Library",40.734961020009514,-74.0595030784607,3212,"Christ Hospital",40.734785818,-74.050443636,29198,"Subscriber",1986,2
213,"2019-06-01 02:24:50.1690","2019-06-01 02:28:23.5020",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3187,"Warren St",40.7211236,-74.03805095,26180,"Subscriber",1972,1
170,"2019-06-01 02:25:48.3300","2019-06-01 02:28:39.0520",3211,"Newark Ave",40.72152515,-74.046304543,3209,"Brunswick St",40.7241765,-74.0506564,29553,"Subscriber",1984,1
175,"2019-06-01 02:25:56.7840","2019-06-01 02:28:52.2360",3211,"Newark Ave",40.72152515,-74.046304543,3209,"Brunswick St",40.7241765,-74.0506564,29517,"Subscriber",1989,2
