"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
107,"2019-04-01 07:48:04.7540","2019-04-01 07:49:52.3590",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,29536,"Subscriber",1966,1
493,"2019-04-01 12:41:09.6540","2019-04-01 12:49:23.0290",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,26191,"Customer",1990,1
512,"2019-04-01 14:27:07.9400","2019-04-01 14:35:40.9370",3183,"Exchange Place",40.7162469,-74.0334588,3202,"Newport PATH",40.7272235,-74.0337589,29302,"Subscriber",1987,2
196,"2019-04-01 15:07:38.1510","2019-04-01 15:10:54.6260",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,26220,"Subscriber",1989,1
463,"2019-04-01 16:19:24.6940","2019-04-01 16:27:08.6450",3183,"Exchange Place",40.7162469,-74.0334588,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,26228,"Subscriber",1995,1
197,"2019-04-01 16:48:52.6740","2019-04-01 16:52:10.1410",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,26157,"Subscriber",1960,1
242,"2019-04-01 16:50:45.7350","2019-04-01 16:54:48.2610",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29640,"Subscriber",1968,1
361,"2019-04-01 17:17:45.1170","2019-04-01 17:23:46.7160",3183,"Exchange Place",40.7162469,-74.0334588,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,26254,"Subscriber",1980,1
78,"2019-04-01 17:20:12.6650","2019-04-01 17:21:30.7450",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,29629,"Subscriber",1985,1
101,"2019-04-01 17:20:37.7220","2019-04-01 17:22:19.5460",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,29641,"Subscriber",1969,0
1705,"2019-04-01 17:26:00.1760","2019-04-01 17:54:25.4620",3183,"Exchange Place",40.7162469,-74.0334588,3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,29247,"Subscriber",1987,1
972,"2019-04-01 17:28:11.1720","2019-04-01 17:44:23.6380",3183,"Exchange Place",40.7162469,-74.0334588,3193,"Lincoln Park",40.7246050998869,-74.07840594649315,29595,"Subscriber",1973,1
324,"2019-04-01 17:34:09.5770","2019-04-01 17:39:34.3090",3183,"Exchange Place",40.7162469,-74.0334588,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29286,"Subscriber",1977,1
120,"2019-04-01 17:35:52.6800","2019-04-01 17:37:53.1610",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,26256,"Subscriber",1985,1
1942,"2019-04-01 17:36:17.9710","2019-04-01 18:08:40.0830",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,29438,"Subscriber",1988,1
255,"2019-04-01 17:37:48.1390","2019-04-01 17:42:03.1980",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29199,"Subscriber",1970,1
242,"2019-04-01 17:42:15.8040","2019-04-01 17:46:18.5720",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,26270,"Subscriber",1976,1
292,"2019-04-01 17:43:46.3820","2019-04-01 17:48:38.9050",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26250,"Subscriber",1992,1
266,"2019-04-01 17:44:02.7730","2019-04-01 17:48:29.7330",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,26285,"Subscriber",1984,1
743,"2019-04-01 17:44:18.0420","2019-04-01 17:56:41.5870",3183,"Exchange Place",40.7162469,-74.0334588,3192,"Liberty Light Rail",40.7112423,-74.0557013,26312,"Subscriber",1990,1
247,"2019-04-01 17:50:49.8370","2019-04-01 17:54:57.5370",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26213,"Subscriber",1989,1
901,"2019-04-01 17:55:45.3600","2019-04-01 18:10:46.7340",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29466,"Subscriber",1974,1
564,"2019-04-01 18:00:49.5250","2019-04-01 18:10:13.9590",3183,"Exchange Place",40.7162469,-74.0334588,3192,"Liberty Light Rail",40.7112423,-74.0557013,29451,"Subscriber",1985,1
255,"2019-04-01 18:08:02.1270","2019-04-01 18:12:17.8060",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29512,"Subscriber",1989,1
183,"2019-04-01 18:12:07.6200","2019-04-01 18:15:10.9690",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,29239,"Subscriber",1979,1
186,"2019-04-01 18:12:55.0300","2019-04-01 18:16:01.6420",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,29293,"Subscriber",1984,2
251,"2019-04-01 18:13:58.8170","2019-04-01 18:18:10.0980",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,29292,"Subscriber",1976,1
203,"2019-04-01 18:15:29.7010","2019-04-01 18:18:53.0830",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,26216,"Subscriber",1974,1
277,"2019-04-01 18:19:50.7850","2019-04-01 18:24:28.4100",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29490,"Subscriber",1967,1
1710,"2019-04-01 18:36:42.2840","2019-04-01 19:05:12.7290",3183,"Exchange Place",40.7162469,-74.0334588,3191,"Union St",40.7182113,-74.0836394,29269,"Customer",1994,1
662,"2019-04-01 18:37:33.0080","2019-04-01 18:48:35.3270",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,26290,"Subscriber",1991,1
109,"2019-04-01 18:42:08.3330","2019-04-01 18:43:57.7320",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,29212,"Subscriber",1980,1
333,"2019-04-01 18:45:33.6420","2019-04-01 18:51:07.1860",3183,"Exchange Place",40.7162469,-74.0334588,3213,"Van Vorst Park",40.71848892,-74.047726625,29635,"Subscriber",1969,0
237,"2019-04-01 18:45:55.2670","2019-04-01 18:49:53.1760",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26237,"Subscriber",1981,0
277,"2019-04-01 18:47:58.9940","2019-04-01 18:52:36.4160",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,29210,"Subscriber",1970,1
256,"2019-04-01 19:13:53.1120","2019-04-01 19:18:09.4390",3183,"Exchange Place",40.7162469,-74.0334588,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,29583,"Subscriber",1982,1
262,"2019-04-01 19:21:48.3330","2019-04-01 19:26:10.3690",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,29209,"Subscriber",1986,1
459,"2019-04-01 19:23:14.8430","2019-04-01 19:30:54.0120",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,26302,"Subscriber",1987,1
324,"2019-04-01 19:25:07.6180","2019-04-01 19:30:32.3390",3183,"Exchange Place",40.7162469,-74.0334588,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,29259,"Subscriber",1992,2
472,"2019-04-01 19:25:31.8480","2019-04-01 19:33:23.9420",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,26171,"Subscriber",1988,1
227,"2019-04-01 19:28:03.8080","2019-04-01 19:31:50.8780",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,26170,"Subscriber",1968,2
106,"2019-04-01 19:41:51.7270","2019-04-01 19:43:38.5700",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,29245,"Customer",1969,0
196,"2019-04-01 19:46:54.1800","2019-04-01 19:50:10.2100",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29675,"Subscriber",1989,1
294,"2019-04-01 20:11:32.1260","2019-04-01 20:16:26.9340",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26196,"Subscriber",1977,1
258,"2019-04-01 20:18:37.8520","2019-04-01 20:22:56.5330",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,26155,"Subscriber",1983,1
817,"2019-04-01 20:33:42.5960","2019-04-01 20:47:20.1590",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,26228,"Subscriber",1982,1
371,"2019-04-01 20:33:44.2350","2019-04-01 20:39:55.3980",3183,"Exchange Place",40.7162469,-74.0334588,3211,"Newark Ave",40.72152515,-74.046304543,29537,"Subscriber",1989,1
209,"2019-04-01 20:33:52.8650","2019-04-01 20:37:22.3790",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,29217,"Subscriber",1988,1
192,"2019-04-01 21:02:49.5450","2019-04-01 21:06:02.2980",3183,"Exchange Place",40.7162469,-74.0334588,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,29292,"Subscriber",1994,1
106,"2019-04-01 21:38:06.3960","2019-04-01 21:39:52.7730",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,29215,"Subscriber",1989,1
374,"2019-04-01 22:08:01.6790","2019-04-01 22:14:16.3460",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29544,"Subscriber",1977,1
258,"2019-04-01 22:15:31.8000","2019-04-01 22:19:50.3570",3183,"Exchange Place",40.7162469,-74.0334588,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29598,"Subscriber",1969,0
757,"2019-04-01 22:38:10.1230","2019-04-01 22:50:47.7060",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,29660,"Subscriber",1991,1
288,"2019-04-01 22:53:37.2660","2019-04-01 22:58:26.1350",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26182,"Subscriber",1961,2
234,"2019-04-02 07:22:11.9770","2019-04-02 07:26:06.0930",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,26307,"Subscriber",1979,1
78,"2019-04-02 08:38:39.8840","2019-04-02 08:39:58.3760",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,29616,"Subscriber",1975,1
212,"2019-04-02 08:49:51.9350","2019-04-02 08:53:24.4470",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,29450,"Subscriber",1983,1
241,"2019-04-02 09:42:52.6610","2019-04-02 09:46:54.2810",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26166,"Subscriber",1974,1
164,"2019-04-02 11:51:20.1860","2019-04-02 11:54:04.1910",3183,"Exchange Place",40.7162469,-74.0334588,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,26158,"Subscriber",1978,1
2578,"2019-04-02 12:42:26.3610","2019-04-02 13:25:25.1790",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,26224,"Subscriber",1961,1
204,"2019-04-02 12:46:07.7500","2019-04-02 12:49:32.4640",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,29504,"Subscriber",1975,1
